Word,StringLength
a,1
ability,7
able,4
about,5
above,5
accept,6
according,9
account,7
across,6
act,3
action,6
activity,8
actually,8
add,3
address,7
administration,14
admit,5
adult,5
affect,6
after,5
again,5
against,7
age,3
agency,6
agent,5
ago,3
agree,5
agreement,9
ahead,5
air,3
all,3
allow,5
almost,6
alone,5
along,5
already,7
also,4
although,8
always,6
American,8
among,5
amount,6
analysis,8
and,3
animal,6
another,7
answer,6
any,3
anyone,6
anything,8
appear,6
apply,5
approach,8
area,4
argue,5
arm,3
around,6
arrive,6
art,3
article,7
artist,6
as,2
ask,3
assume,6
at,2
attack,6
attention,9
attorney,8
audience,8
author,6
authority,9
available,9
avoid,5
away,4
baby,4
back,4
bad,3
bag,3
ball,4
bank,4
bar,3
base,4
be,2
beat,4
beautiful,9
because,7
become,6
bed,3
before,6
begin,5
behavior,8
behind,6
believe,7
benefit,7
best,4
better,6
between,7
beyond,6
big,3
bill,4
billion,7
bit,3
black,5
blood,5
blue,4
board,5
body,4
book,4
born,4
both,4
box,3
boy,3
break,5
bring,5
brother,7
budget,6
build,5
building,8
business,8
but,3
buy,3
by,2
call,4
camera,6
campaign,8
can,3
cancer,6
candidate,9
capital,7
car,3
card,4
care,4
career,6
carry,5
case,4
catch,5
cause,5
cell,4
center,6
central,7
century,7
certain,7
certainly,9
chair,5
challenge,9
chance,6
change,6
character,9
charge,6
check,5
child,5
choice,6
choose,6
church,6
citizen,7
city,4
civil,5
claim,5
class,5
clear,5
clearly,7
close,5
coach,5
cold,4
collection,10
college,7
color,5
come,4
commercial,10
common,6
community,9
company,7
compare,7
computer,8
concern,7
condition,9
conference,10
Congress,8
consider,8
consumer,8
contain,7
continue,8
control,7
cost,4
could,5
country,7
couple,6
course,6
court,5
cover,5
create,6
crime,5
cultural,8
culture,7
cup,3
current,7
customer,8
cut,3
dark,4
data,4
daughter,8
day,3
dead,4
deal,4
death,5
debate,6
decade,6
decide,6
decision,8
deep,4
defense,7
degree,6
Democrat,8
democratic,10
describe,8
design,6
despite,7
detail,6
determine,9
develop,7
development,11
die,3
difference,10
different,9
difficult,9
dinner,6
direction,9
director,8
discover,8
discuss,7
discussion,10
disease,7
do,2
doctor,6
dog,3
door,4
down,4
draw,4
dream,5
drive,5
drop,4
drug,4
during,6
each,4
early,5
east,4
easy,4
eat,3
economic,8
economy,7
edge,4
education,9
effect,6
effort,6
eight,5
either,6
election,8
else,4
employee,8
end,3
energy,6
enjoy,5
enough,6
enter,5
entire,6
environment,11
environmental,13
especially,10
establish,9
even,4
evening,7
event,5
ever,4
every,5
everybody,9
everyone,8
everything,10
